round,wire,bits(0sRxxRδδ),symbol
0,u0,00001,δ
0,u1,00100,x
0,u2,00000,0
0,u3,00000,0
1,u0,00000,0
1,u1,00010,R(δ)
1,u2,00110,R(δ) ⊕ x
1,u3,00000,0
2,u0,00000,0
2,u1,00000,0
2,u2,00010,R(δ)
2,u3,00110,R(δ) ⊕ x
3,u0,00110,R(δ) ⊕ x
3,u1,00000,0
3,u2,00000,0
3,u3,00010,R(δ)
4,u0,00010,R(δ)
4,u1,10000,0s
4,u2,10000,0s
4,u3,00000,0
5,u0,00000,0
5,u1,00010,R(δ)
5,u2,10010,R(δ) ⊕ 0s
5,u3,10000,0s
6,u0,10000,0s
6,u1,00000,0
6,u2,00010,R(δ)
6,u3,10010,R(δ) ⊕ 0s
7,u0,10010,R(δ) ⊕ 0s
7,u1,10000,0s
7,u2,10000,0s
7,u3,00010,R(δ)
8,u0,00010,R(δ)
8,u1,BOT,⊥
8,u2,BOT,⊥
8,u3,10000,0s
9,u0,10000,0s
9,u1,00010,R(δ)
9,u2,BOT,⊥
9,u3,BOT,⊥
10,u0,BOT,⊥
10,u1,10000,0s
10,u2,10010,R(δ) ⊕ 0s
10,u3,BOT,⊥
11,u0,BOT,⊥
11,u1,BOT,⊥
11,u2,BOT,⊥
11,u3,10010,R(δ) ⊕ 0s
12,u0,10010,R(δ) ⊕ 0s
12,u1,BOT,⊥
12,u2,BOT,⊥
12,u3,BOT,⊥
13,u0,BOT,⊥
13,u1,BOT,⊥
13,u2,BOT,⊥
13,u3,BOT,⊥
